#,"Entry ID","Ip Address","User","Datetime","Action","Module"
2062,"5568","::1","guest","2016-08-20 10:58:08am","Query executed: SELECT bulletin_id,bulletin_name,bulletin_description,file_document FROM bulletin WHERE category in ('tourism')","/barangay/modules/bsystem/home.php"
2063,"5569","::1","guest","2016-08-20 10:58:46am","Query executed: SELECT bulletin_id, bulletin_name,bulletin_description,file_document FROM bulletin WHERE category in ('news','tourism') ","/barangay/modules/bsystem/home.php"
2064,"5570","::1","guest","2016-08-20 10:58:46am","Query executed: SELECT bulletin_id,bulletin_date, bulletin_name,bulletin_description,file_document FROM bulletin WHERE category='Main Event' ORDER BY bulletin_ID DESC ","/barangay/modules/bsystem/home.php"
2065,"5571","::1","guest","2016-08-20 10:58:46am","Query executed: SELECT bulletin_id,bulletin_name,bulletin_description,file_document FROM bulletin WHERE category in ('tourism')","/barangay/modules/bsystem/home.php"
2066,"5572","::1","guest","2016-08-20 10:59:02am","Query executed: SELECT bulletin_id, bulletin_name,bulletin_description,file_document FROM bulletin WHERE category in ('news','tourism') ","/barangay/modules/bsystem/home.php"
2067,"5573","::1","guest","2016-08-20 10:59:02am","Query executed: SELECT bulletin_id,bulletin_date, bulletin_name,bulletin_description,file_document FROM bulletin WHERE category='Main Event' ORDER BY bulletin_ID DESC ","/barangay/modules/bsystem/home.php"
2068,"5574","::1","guest","2016-08-20 10:59:02am","Query executed: SELECT bulletin_id,bulletin_name,bulletin_description,file_document FROM bulletin WHERE category in ('tourism')","/barangay/modules/bsystem/home.php"
2069,"5575","::1","guest","2016-08-20 11:00:51am","Query executed: SELECT bulletin_id, bulletin_name,bulletin_description,file_document FROM bulletin WHERE category in ('news','tourism') ","/barangay/modules/bsystem/home.php"
2070,"5576","::1","guest","2016-08-20 11:00:51am","Query executed: SELECT bulletin_id,bulletin_date, bulletin_name,bulletin_description,file_document FROM bulletin WHERE category='Main Event' ORDER BY bulletin_ID DESC ","/barangay/modules/bsystem/home.php"
2071,"5577","::1","guest","2016-08-20 11:00:51am","Query executed: SELECT bulletin_id,bulletin_name,bulletin_description,file_document FROM bulletin WHERE category in ('tourism')","/barangay/modules/bsystem/home.php"
2072,"5578","::1","guest","2016-08-20 11:04:33am","Query executed: SELECT bulletin_id, bulletin_name,bulletin_description,file_document FROM bulletin WHERE category in ('news','tourism') ","/barangay/modules/bsystem/home.php"
2073,"5579","::1","guest","2016-08-20 11:04:33am","Query executed: SELECT bulletin_id,bulletin_date, bulletin_name,bulletin_description,file_document FROM bulletin WHERE category='Main Event' ORDER BY bulletin_ID DESC ","/barangay/modules/bsystem/home.php"
2074,"5580","::1","guest","2016-08-20 11:04:33am","Query executed: SELECT bulletin_id,bulletin_name,bulletin_description,file_document FROM bulletin WHERE category in ('tourism')","/barangay/modules/bsystem/home.php"
2075,"5581","::1","guest","2016-08-20 11:04:36am","Query executed: SELECT bulletin_id,bulletin_name,bulletin_description,file_document FROM bulletin WHERE category in ('information','health','education')  ","/barangay/modules/bsystem/information.php"
2076,"5582","::1","guest","2016-08-20 11:05:38am","Query executed: SELECT bulletin_id,bulletin_name,bulletin_description,file_document FROM bulletin WHERE category in ('information','health','education')  ","/barangay/modules/bsystem/information.php"
2077,"5583","::1","guest","2016-08-20 11:08:48am","Query executed: SELECT * FROM citizen WHERE username='guest'","/barangay/modules/bsystem/barangay_id_output.php"
